point_cloud,n_pts,dim,filtration,tau_q,tau
uniform_ball_noisy0.05,10,10,vr,0.95,1.2014162645306468
uniform_ball_noisy0.05,10,10,dtm,0.95,1.1240828143176993
uniform_ball_noisy0.05,10,20,vr,0.95,1.2997978173042064
uniform_ball_noisy0.05,10,20,dtm,0.95,1.2572611559080495
uniform_ball_noisy0.05,50,5,vr,0.95,0.6723339962144846
uniform_ball_noisy0.05,50,5,dtm,0.95,0.6151505254744131
uniform_ball_noisy0.05,50,10,vr,0.95,0.9052405503843561
uniform_ball_noisy0.05,50,10,dtm,0.95,0.859142884396358
uniform_ball_noisy0.05,50,20,vr,0.95,1.086695592232597
uniform_ball_noisy0.05,50,20,dtm,0.95,1.0489912812209587
uniform_ball_noisy0.05,100,5,vr,0.95,0.5610410704937355
uniform_ball_noisy0.05,100,5,dtm,0.95,0.5250549912484922
uniform_ball_noisy0.05,100,10,vr,0.95,0.8120089021596874
uniform_ball_noisy0.05,100,10,dtm,0.95,0.7762539723256854
uniform_ball_noisy0.05,100,20,vr,0.95,1.012321530994122
uniform_ball_noisy0.05,100,20,dtm,0.95,0.9843306577082138
ell_gaussian_eta1.0_rot,10,5,vr,0.95,2.8426100841657167
ell_gaussian_eta1.0_rot,10,5,dtm,0.95,2.2933538343617403
ell_gaussian_eta1.0_rot,10,10,vr,0.95,4.144215268308344
ell_gaussian_eta1.0_rot,10,10,dtm,0.95,3.546648648882457
ell_gaussian_eta1.0_rot,10,20,vr,0.95,6.033556827774843
ell_gaussian_eta1.0_rot,10,20,dtm,0.95,5.52986818453506
ell_gaussian_eta1.0_rot,50,5,vr,0.95,1.9604902885978126
ell_gaussian_eta1.0_rot,50,5,dtm,0.95,1.4277195680380461
ell_gaussian_eta1.0_rot,50,10,vr,0.95,3.2777928615912924
ell_gaussian_eta1.0_rot,50,10,dtm,0.95,2.673496714651674
ell_gaussian_eta1.0_rot,50,20,vr,0.95,5.134906338919583
ell_gaussian_eta1.0_rot,50,20,dtm,0.95,4.450863312589952
ell_gaussian_eta1.0_rot,100,5,vr,0.95,1.7045808062700345
ell_gaussian_eta1.0_rot,100,5,dtm,0.95,1.2445171207544579
ell_gaussian_eta1.0_rot,100,10,vr,0.95,2.999340039399242
ell_gaussian_eta1.0_rot,100,10,dtm,0.95,2.3828213460584395
ell_gaussian_eta1.0_rot,100,20,vr,0.95,4.815206060902754
ell_gaussian_eta1.0_rot,100,20,dtm,0.95,4.110845864710754
ell_gaussian_eta0.5_rot,10,5,vr,0.95,2.927380631951631
ell_gaussian_eta0.5_rot,10,5,dtm,0.95,2.293323536361738
ell_gaussian_eta0.5_rot,10,10,vr,0.95,4.1463189412332015
ell_gaussian_eta0.5_rot,10,10,dtm,0.95,3.6008940520368045
ell_gaussian_eta0.5_rot,10,20,vr,0.95,6.06590833342744
ell_gaussian_eta0.5_rot,10,20,dtm,0.95,5.408338332916316
ell_gaussian_eta0.5_rot,50,5,vr,0.95,1.988907842304774
ell_gaussian_eta0.5_rot,50,5,dtm,0.95,1.428498500785114
ell_gaussian_eta0.5_rot,50,10,vr,0.95,3.2887060683334175
ell_gaussian_eta0.5_rot,50,10,dtm,0.95,2.6215659221602126
ell_gaussian_eta0.5_rot,50,20,vr,0.95,5.151871220699577
ell_gaussian_eta0.5_rot,50,20,dtm,0.95,4.464968093144973
ell_gaussian_eta0.5_rot,100,5,vr,0.95,1.7046914095154424
ell_gaussian_eta0.5_rot,100,5,dtm,0.95,1.24473905000939
ell_gaussian_eta0.5_rot,100,10,vr,0.95,2.9772407279560325
ell_gaussian_eta0.5_rot,100,10,dtm,0.95,2.390723808649743
ell_gaussian_eta0.5_rot,100,20,vr,0.95,4.798857383107415
ell_gaussian_eta0.5_rot,100,20,dtm,0.95,4.115453829102348
ell_gaussian_eta0.2_rot,10,5,vr,0.95,2.808352697565784
ell_gaussian_eta0.2_rot,10,5,dtm,0.95,2.24852428152128
ell_gaussian_eta0.2_rot,10,10,vr,0.95,4.122302219490525
ell_gaussian_eta0.2_rot,10,10,dtm,0.95,3.6042517952443074
ell_gaussian_eta0.2_rot,10,20,vr,0.95,6.092668424168169
ell_gaussian_eta0.2_rot,10,20,dtm,0.95,5.529663707595323
ell_gaussian_eta0.2_rot,50,5,vr,0.95,1.9859529488395469
ell_gaussian_eta0.2_rot,50,5,dtm,0.95,1.4471644255616807
ell_gaussian_eta0.2_rot,50,10,vr,0.95,3.2959801867589986
ell_gaussian_eta0.2_rot,50,10,dtm,0.95,2.649509903404974
ell_gaussian_eta0.2_rot,50,20,vr,0.95,5.161489789305855
